Town,Year,Substance,Gender,Measure Type,Variable,Value
Hampton,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Hartford,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Hartland,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Harwinton,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Hebron,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Kent,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Killingly,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Killingworth,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Lebanon,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Ledyard,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Lisbon,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Litchfield,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Lyme,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Madison,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Manchester,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Mansfield,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Marlborough,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Meriden,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,4
Middlebury,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Middlefield,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Middletown,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Milford,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,2
Monroe,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Montville,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,4
Morris,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Naugatuck,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
New Britain,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
New Canaan,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
New Fairfield,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
New Hartford,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
New Haven,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
New London,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
New Milford,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Newington,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Newtown,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Norfolk,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
North Branford,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
North Canaan,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
North Haven,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
North Stonington,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Norwalk,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Norwich,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,2
Old Lyme,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Old Saybrook,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Orange,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Oxford,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Plainfield,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Plainville,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Plymouth,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Pomfret,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Portland,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Preston,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Prospect,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Putnam,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Redding,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Ridgefield,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Rocky Hill,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Roxbury,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Salem,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Salisbury,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Scotland,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Seymour,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Sharon,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Shelton,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Sherman,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Simsbury,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Somers,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
South Windsor,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Southbury,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Southington,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,3
Sprague,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Stafford,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Stamford,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Sterling,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Stonington,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Stratford,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Suffield,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Thomaston,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Thompson,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Tolland,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Torrington,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Trumbull,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Union,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Vernon,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Voluntown,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Wallingford,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Warren,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Washington,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Waterbury,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Waterford,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Watertown,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
West Hartford,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
West Haven,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Westbrook,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Weston,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Westport,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Wethersfield,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Willington,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Wilton,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Winchester,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Windham,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Windsor,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Windsor Locks,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,2
Wolcott,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Woodbridge,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Woodbury,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Woodstock,2008,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Andover,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Ansonia,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,3
Ashford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Avon,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Barkhamsted,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Beacon Falls,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,36
Berlin,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,13
Bethany,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Bethel,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,5
Bethlehem,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Bloomfield,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Bolton,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,4
Bozrah,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Branford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Bridgeport,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,13
Bridgewater,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,3
Bristol,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,6
Brookfield,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,3
Brooklyn,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Burlington,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Canaan,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Canterbury,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Canton,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Chaplin,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Cheshire,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,20
Chester,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Clinton,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Colchester,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,5
Colebrook,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Columbia,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Cornwall,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Coventry,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,15
Cromwell,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,16
Danbury,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,20
Darien,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,4
Deep River,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Derby,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Durham,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,2
East Granby,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
East Haddam,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,8
East Hampton,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
East Hartford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,16
East Haven,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,16
East Lyme,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,6
East Windsor,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,4
Eastford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Easton,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Ellington,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Enfield,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,38
Essex,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Fairfield,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,7
Farmington,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Franklin,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Glastonbury,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,5
Goshen,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Granby,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Greenwich,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Griswold,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,4
Groton,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,18
Guilford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,3
Haddam,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,4
Hamden,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,12
Hampton,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Hartford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,9
Hartland,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Harwinton,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Hebron,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Kent,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Killingly,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Killingworth,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,4
Lebanon,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,6
Ledyard,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,3
Lisbon,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Litchfield,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,10
Lyme,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,4
Madison,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,18
Manchester,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,6
Mansfield,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Marlborough,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Meriden,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,7
Middlebury,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,3
Middlefield,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Middletown,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,3
Milford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,8
Monroe,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Montville,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,9
Morris,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Naugatuck,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,46
New Britain,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,9
New Canaan,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
New Fairfield,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,3
New Hartford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
New Haven,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,13
New London,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
New Milford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,16
Newington,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Newtown,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,7
Norfolk,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
North Branford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,19
North Canaan,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,1
North Haven,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,13
North Stonington,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Norwalk,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,33
Norwich,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Old Lyme,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,4
Old Saybrook,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Orange,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Oxford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Plainfield,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,11
Plainville,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Plymouth,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,8
Pomfret,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Portland,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,6
Preston,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Prospect,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,36
Putnam,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,13
Redding,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Ridgefield,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Rocky Hill,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Roxbury,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,3
Salem,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Salisbury,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Scotland,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Seymour,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,14
Sharon,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Shelton,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,41
Sherman,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Simsbury,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Somers,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,7
South Windsor,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,6
Southbury,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,3
Southington,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,18
Sprague,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Stafford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,13
Stamford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,4
Sterling,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Stonington,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,5
Stratford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Suffield,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,5
Thomaston,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Thompson,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Tolland,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Torrington,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,17
Trumbull,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Union,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Vernon,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Voluntown,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Wallingford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,6
Warren,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Washington,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,3
Waterbury,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,21
Waterford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Watertown,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,7
West Hartford,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,8
West Haven,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,38
Westbrook,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Weston,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,3
Westport,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,8
Wethersfield,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Willington,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Wilton,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,6
Winchester,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Windham,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,9
Windsor,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,5
Windsor Locks,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,4
Wolcott,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,14
Woodbridge,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Woodbury,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Woodstock,2008,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Andover,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Ansonia,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,2
Ashford,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Avon,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Barkhamsted,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Beacon Falls,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,11
Berlin,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,3
Bethany,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Bethel,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,2
Bethlehem,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Bloomfield,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Bolton,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Bozrah,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Branford,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Bridgeport,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,4
Bridgewater,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,3
Bristol,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,2
Brookfield,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,1
Brooklyn,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Burlington,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,2
Canaan,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Canterbury,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Canton,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Chaplin,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Cheshire,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,5
Chester,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Clinton,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,3
Colchester,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,2
Colebrook,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Columbia,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Cornwall,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Coventry,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,3
Cromwell,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,1
Danbury,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,3
Darien,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Deep River,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Derby,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,2
Durham,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,10
East Granby,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
East Haddam,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,3
East Hampton,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
East Hartford,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,3
East Haven,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,28
East Lyme,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,6
East Windsor,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,2
Eastford,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Easton,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Ellington,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Enfield,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,11
Essex,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Fairfield,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,5
Farmington,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Franklin,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Glastonbury,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,2
Goshen,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Granby,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Greenwich,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,1
Griswold,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,1
Groton,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,5
Guilford,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,1
Haddam,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,1
Hamden,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,2
Hampton,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Hartford,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,5
Hartland,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Harwinton,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,2
Hebron,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Kent,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Killingly,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,3
Killingworth,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,1
Lebanon,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,1
Ledyard,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,2
Lisbon,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Litchfield,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Lyme,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Madison,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,7
Manchester,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Mansfield,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Marlborough,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Meriden,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,6
Middlebury,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,2
Middlefield,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,10
Middletown,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,3
Milford,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,1
Monroe,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,6
Montville,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,5
Morris,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,0
Naugatuck,2008,Tobacco,Female,Number,School suspensions and expulsions in past year,2
